Artículo,Fuente Suministro,Inventario,Backorder,Importancia RFM,Alerta,Monto USD,Última Compra,Compras Recomendadas,Recomendacion USD
c-1515,sakura filter,1248.0,0.0,3,verde,5.4,500.0,3350,18090.0
ca-1006,sakura filter,84.0,0.0,0,verde,2.23,60.0,100,223.0
55311-2s400,ito koyama - amortiguadores,24.0,0.0,1,amarillo,7.0,60.0,100,700.0
sac-57010,sakura filter,0.0,0.0,0,rojo,3.9,36.0,50,195.0
a-2625,sakura filter,302.0,0.0,2,verde,4.57,200.0,100,457.0
t012,ito koyama - resortes,602.0,0.0,3,amarillo,3.65,1008.0,1000,3650.0
a-65620,sakura filter,97.0,0.0,2,amarillo,2.13,100.0,100,213.0
a-28600,sakura filter,7.0,0.0,2,rojo,2.77,40.0,150,415.5
wc-7101,sakura filter,130.0,0.0,3,verde,4.94,156.0,100,494.00000000000006
t009,ito koyama - resortes,0.0,0.0,3,rojo,5.15,104.0,250,1287.5
fc-1008,sakura filter,160.0,0.0,0,verde,4.56,192.0,50,227.99999999999997
55310-21010,ito koyama - amortiguadores,219.0,0.0,0,verde,5.65,100.0,150,847.5
mi002,ito koyama - resortes,0.0,0.0,3,rojo,5.25,60.0,150,787.5
54303-54y00,ito koyama - amortiguadores,164.0,0.0,3,verde,9.9,204.0,250,2475.0
bdd022,ishikawa - discos de freno,80.0,0.0,0,verde,8.39,100.0,50,419.5
hc-5816,sakura filter,66.0,0.0,0,verde,5.33,108.0,300,1599.0
a-71260-s,sakura filter,87.0,0.0,3,verde,36.47,100.0,100,3647.0
k20tr11,denso - bujias - japon,194.0,0.0,1,verde,1.49,192.0,250,372.5
884646,valvoline - usa,1816.0,0.0,3,verde,4.38,504.0,500,2190.0
hy-012,ito koyama - palieres,0.0,0.0,3,rojo,10.3,200.0,300,3090.0
op-501,ito koyama - palieres,78.0,0.0,0,verde,7.15,80.0,50,357.5
17189,narva,280.0,0.0,1,verde,0.6185567021369933,400.0,200,123.71134042739867
17197,narva,10100.0,0.0,3,verde,0.1627780795097351,8000.0,14450,2352.1432489156723
c-271340,mann - brasil,59.0,0.0,3,amarillo,32.5,64.0,150,4875.0
eo-31070,sakura filter,167.0,0.0,2,verde,1.84,100.0,250,460.0
a-71510-s,sakura filter,0.0,0.0,2,rojo,28.13,6.0,50,1406.5
a-5113-s,sakura filter,59.0,0.0,0,verde,19.35,60.0,50,967.5000000000001
a-1129,sakura filter,234.0,0.0,2,verde,1.75,100.0,150,262.5
t032,ito koyama - resortes,0.0,0.0,3,rojo,7.63,92.0,200,1526.0
fd-106,ito koyama - palieres,0.0,0.0,0,rojo,6.9,50.0,100,690.0
bdd035,ishikawa - discos de freno,146.0,0.0,0,verde,10.19,150.0,50,509.5
a-2843,sakura filter,378.0,0.0,0,verde,2.96,114.0,100,296.0
hy054,ito koyama - resortes,133.0,0.0,0,verde,7.8,120.0,50,390.0
fc-5725,sakura filter,516.0,0.0,0,verde,5.85,180.0,350,2047.4999999999998
ni-046,ito koyama - palieres,0.0,0.0,2,rojo,9.1,50.0,100,910.0
ef-10050,sakura filter,155.0,0.0,1,verde,2.93,50.0,0,-146.5
t1086,ito koyama - trapecios,163.0,0.0,3,verde,23.8,108.0,50,1190.0
n016,ito koyama - resortes,246.0,0.0,3,verde,6.51,400.0,250,1627.5
as-1014,sakura filter,145.0,0.0,0,verde,3.24,81.0,50,162.0
ka-103,ito koyama - palieres,0.0,0.0,0,rojo,6.9,50.0,100,690.0
sdki-299,seco - embragues,37.0,0.0,3,rojo,14.15,300.0,400,5660.0
hy047,ito koyama - resortes,150.0,0.0,3,verde,10.61,120.0,100,1061.0
wk-820/18,mann - brasil,209.0,0.0,3,verde,23.976101517677307,50.0,150,3596.415227651596
a-1145,sakura filter,95.0,0.0,0,verde,2.96,100.0,50,148.0
a-61480,sakura filter,329.0,0.0,2,verde,1.8,400.0,250,450.0
a-6609,sakura filter,20.0,0.0,0,amarillo,2.43,40.0,50,121.50000000000001
p85140500,prextoline - lubricantes,40.0,0.0,3,verde,46.5,50.0,50,2325.0
sb001,ito koyama - resortes,10.0,0.0,2,amarillo,5.57,80.0,50,278.5
k006,ito koyama - resortes,0.0,0.0,3,rojo,5.78,200.0,250,1445.0
bdd023,ishikawa - discos de freno,0.0,0.0,0,rojo,6.28,50.0,100,628.0
a-65510,sakura filter,404.0,0.0,2,verde,3.3,144.0,200,660.0
bdd038,ishikawa - discos de freno,26.0,0.0,0,amarillo,6.38,50.0,150,957.0
a-7124,sakura filter,208.0,0.0,3,verde,23.44,37.0,50,1172.0
543020322r,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.2,120.0,100,1019.9999999999999
fc-5723,sakura filter,223.0,0.0,3,amarillo,1.55,400.0,1000,1550.0
fs-2904,sakura filter,85.0,0.0,0,amarillo,2.38,140.0,150,357.0
a-1177,sakura filter,0.0,0.0,2,rojo,7.34,60.0,150,1101.0
mr-151227,ito koyama - amortiguadores,98.0,0.0,0,verde,5.2,100.0,150,780.0
a-65660,sakura filter,40.0,0.0,0,verde,2.26,100.0,100,225.99999999999997
d04a34700c,ito koyama - amortiguadores,110.0,0.0,2,verde,11.0,56.0,100,1100.0
a-29430,sakura filter,57.0,0.0,0,verde,12.48,14.0,50,624.0
a-8811,sakura filter,580.0,0.0,0,verde,1.84,300.0,100,184.0
hy-640,ito koyama - palieres,0.0,0.0,0,rojo,8.5,50.0,100,850.0
cf-400/1,mann - brasil,449.0,0.0,3,verde,9.29,210.0,350,3251.4999999999995
a-5597,sakura filter,216.0,0.0,2,verde,2.61,160.0,300,783.0
v001,ito koyama - resortes,196.0,0.0,3,verde,5.04,160.0,100,504.0
a-28990,sakura filter,266.0,0.0,2,verde,2.74,300.0,100,274.0
822345,valvoline - usa,630.0,0.0,3,verde,4.68,252.0,150,702.0
a-8672-s,sakura filter,44.0,0.0,3,amarillo,10.08,36.0,200,2016.0
hy-824,ito koyama - palieres,0.0,0.0,0,rojo,10.6,50.0,100,1060.0
fxe20hr11,denso - bujias - japon,192.0,0.0,0,verde,10.67,192.0,50,533.5
mwmwd1210,wagner - pastillas,35.0,0.0,0,verde,9.1,40.0,50,455.0
sfc-89010,sakura filter,155.0,0.0,0,verde,13.33,96.0,50,666.5
t1154,ito koyama - trapecios,17.0,0.0,1,amarillo,13.62,40.0,50,681.0
ef-2634,sakura filter,101.0,0.0,3,amarillo,4.89,100.0,600,2934.0
fc-1814,sakura filter,576.0,0.0,3,verde,3.25,150.0,250,812.5
a-14460,sakura filter,214.0,0.0,2,verde,1.9,20.0,200,380.0
ca-18280,sakura filter,632.0,0.0,3,amarillo,1.27,60.0,450,571.5
fc-1004,sakura filter,176.0,0.0,0,verde,1.7,200.0,100,170.0
wp-11102/3,mann - brasil,245.0,0.0,3,verde,7.733762655258179,400.0,750,5800.321991443634
ch005,ito koyama - resortes,16.0,0.0,2,rojo,4.0,104.0,100,400.0
18058,narva,246.0,0.0,2,verde,16.431771507263182,504.0,50,821.5885753631591
