sku,rfm
as657/2,0
wk-11001x,3
to-840,2
a-5903,3
a-33730,3
op-004,2
48641,2
a-5597,3
hdd315/80r22.5,2
gw001,3
3461-8576skr,1
cmt-001,1
a-1127,1
ni-020,3
bdd011,2
af12050m,2
55351-2e501,3
56210-wf126,3
56210-jg000,1
a-7122-s,3
48720,3
ani005,2
to-841,3
fc-5725,3
pcr5050500,3
a-6304-s,3
m-polos,0
ek004,2
paw68r5500,1
ctx-014z,2
dtx-099l,3
f-1111,3
srb-031,0
sfc-5708,2
sk-017,3
w7multi-20,0
wk-718,2
n009,2
pu-88,1
eo-11050,3
mi-016,2
17189,1
hy043,3
d25600025,0
mg330,2
ty655183u,2
95917155,3
dtx-146,3
tni009,2
t013,3
eo-10060,2
hy-610,3
as-29685/20,0
enr48072y,1
ech001,0
334471,2
j002,3
a-72070,3
drp12.00r24,1
wpt-166va,1
tto025,1
pu-941x,3
dm11r22.5,1
vx959,3
dt185/65r14,1
dt195/65r15,2
pgcr5003,2
041063007,2
rni004,1
a-2002,1
a-8579-s,3
t012,3
dt-611u,3
sk17fa-e,1
a-65660,2
hy-823,3
17104,1
c-6105,2
mi007,3
sb004,1
icd1454,2
c-6214,3
dtlt225/75r16,1
a-5568-s,3
a-5101,3
hu-12140x,3
e6110-eb71a,3
56211-wf126,3
a-71130-s,3
dtx-113,2
vx298,1
mb659129u,2
bto012,3
7246302l,3
jx-002a,1
c-1735,3
56110-01n00,3
icd1847,2
enr17635,1
v004,2
wk-10006z,1
k008,2
eo-1102,2
17322,0
99991970,1
d04a34900c,2
c-5707,2
485310r010,3
w22m-u,1
083857003,3
48884,2
hp295/80r22.5,2
ge-008,2
48415473,0
a-1180,2
c-5705,3
t031,2
377513029,3
t1119,0
k20pr-u11,1
24526127r,3
km425/65r22.5,1
wc-5705,3
48894,2
st-1640,0
mg351,1
rovatfd025,3
48729,1
paw68a5500,3
ety002,2
099830015,0
dt175/70r13,2
48520-12610-l,3
ato-001,3
cv-15,2
54661-2s000,3
ca-28380,2
li-012,2
ca-65180,2
56210-86425,3
ak001,1
enr48072,1
dtx-202,2
dop11r22.5,1
543028h600,1
ca-17140,3
aty004,1
aat-018,2
t038,3
725680400r,1
48530-02130,3
hy050,3
rto019,1
emi001,1
sfc-7939-30b,3
a-65490,2
asz002,0
tn-146,1
c-1012,3
26560143,3
ca-1114,3
enr48328,1
k005,3
54302-1n310,3
sk20fa-e,1
3330083,3
c-1903,2
tb-1394/1x,1
dt-036v,3
o-1323,2
48510-19355,3
ca-1806,2
11006,0
dtlt265/70r17,2
54650-2p000,2
55361-2e501,2
c-1309,3
dttmlt265/75r16,1
t029,2
eo-1103,2
f-17011,3
t1060,2
sfc-5711,3
ef-15130,3
334470,1
fc-1702,3
cu-1919,2
hy040,3
54650-4n000,2
hy004,3
thy016,0
54650-h9200,3
ch008,3
ss02,3
41801-59j10,3
cac-11380,1
t1146,2
dt215/75r16c,2
fc-1105,0
90924960,1
a-6227-s,1
a-38520-s,2
t032,3
55310-21010,2
54661-2e500,3
ckt-508aa,1
55300-3x100,3
54650-1e200,3
41602m79g80,3
t017,1
hy-013,3
c-1011,3
ni-022f3,3
ca-11390,2
a-6121m-s,3
fc-7905,2
c-4312/1,2
ca-65210,2
pe1540ci500,1
92827960,1
n025,1
pp05300100,3
3461-1001skr,2
54661-f2000,3
w-11102/36,3
hu-931/5x,3
rni010,1
wk-1060/1,3
01135brg,0
opt-076,2
48350,3
rov20500254t,2
aty006,2
tto026,2
wk-940/12,2
wk-1060/2,3
c-23610,2
dt-625,3
fc-2904,3
k004,3
a-8602-s,3
icd1193,1
wk-820/18,3
to-2880,3
n013,3
ik20,2
efg-15010,3
sk005,3
eo-24070,2
sfc-55220,3
pt16vr13,0
tks58-31k,2
dt185/70r13,2
48511-39687,2
by-002,3
56110-25g00,3
dtx-199,3
rov530025,1
a-5301-s,2
c-1533,3
q20r-u11,0
w20exr-u,0
a-14470,1
bdd020,3
di1540ci025,3
01277,0
skf-6203-2z/c3,0
fxe20hr11,2
tto008,1
icd1595,1
ch009,3
c-1809,3
sfc-7912-30b,3
a-22340,2
17881,0
af9900m8,2
a-2813,3
as237sp-m2,1
36473633,1
eo-3005,1
rhy005,1
ctx-170a,3
as-1034,2
as-5102-s,3
17035,1
4851087401,2
a-5555-s,1
t1102,2
54651-f2000,3
ctx-145,3
tsz001,1
hd315/80r22.5,1
774038,2
2901310u8010,2
a-25440,1
dt165/65r13,1
377412503,3
a-38120-s,3
01095jg2,0
48520-19075,3
sfc-5301-10b,3
ani003,1
c-1113,3
82581060,0
sk22,2
100-2e,1
rki001,2
c-1019,1
98015,3
af850/xf,1
4106961j00,3
ca-28260,3
a-5653-s,1
fc-1107,1
dtmlt265/75r16,1
d006,2
55302-51y00,3
17948,3
opt-116,3
dt5.00r12lt,3
wp-11102/3,3
800039911000,1
fs-18291,3
c-29010,1
n010,3
mz-024f2,1
a-83100-s,3
rni005,1
48607,3
a-13580-s,3
98014,1
ixeh20ett,2
a-28890,2
rmi002,1
a-5441-s,3
sk-1043,3
mg369,2
skf-6001-2rshc3,0
h-5902,1
cf-1651,3
e6200-eb71a,2
sk016,3
t014,3
48001,0
c-1305,3
as-2206-s,3
c-15671,1
t1099,2
c-2804,1
4tp20500025,2
44209,3
46606ef,0
891566,2
bto017,2
55310-h9200,3
c-1122,3
ef-51040,3
c-2516,2
t1084,3
a-1178,2
mi-501,2
ur004,0
p2560cf500,3
96316781,3
a-6119m,3
55311-d3000,1
sm042,1
ety012,1
sc20hr11,3
100-4d56t,1
mi-620,3
w20ex-u,1
a-1429,2
vv982,2
54661-d3000,3
pra500500,2
c-301500,1
a-2625,3
d007,3
enr17181,1
ami001,1
088269017,0
dt-123v,3
tto003,1
fc-1807,3
40338960,1
opt-010,2
w-1168/5,3
dpm12.00r20,1
xu22hdr9,3
p00100500,3
41602-71l20,3
c-6526,3
98016,3
48531-36100,3
724680016r,1
enr17638,1
56210-4m400,3
03921,0
dop1137,0
341166,1
mr197434,2
t002,3
t1147,2
cf-360,1
ani002,1
a-5668-s,3
11812,0
eni005,0
17040,3
a-5022-s,3
ctx-076,2
sfc-19140,3
c-331460/1,2
a-28640,3
ef-18060,2
48052,0
mz-023,2
fc-1004,1
a-38230-s,3
sc16hr11,2
90081961,1
48892,3
rp2050100,3
afc11000/1f,2
a-8548,1
pp05300055,2
dtx-232a,3
hm11r22.5,2
54660-1e200,3
d001,3
q16r-u,0
eo-2621,2
eo-66010,2
bto010,2
ca-28330,2
rov530sn5500,2
dtx-209a,2
sk010,1
77990860,0
a-5558-s,3
eo-65120,3
ek001,1
ch005,2
c-27830,2
n014,3
ni-5052,2
eo-83020,2
sb002,1
a-5904,3
rxfc113640b,2
884567,2
a-1342-s,3
c-20500,3
bdd050,1
ef-1802,3
v003,2
c002,2
pu-1059x,1
t1092,1
k20r-u11,0
n015,3
099830020,0
ef-1112,3
17053,0
55350-25050,1
aty007,1
bw7000m-m3,0
bto015,2
p1540ci500,3
dt235/65r16c,3
hy034,2
17059,1
ea-69220,0
a-17900,2
183450001,2
54661-2h000,3
a-8647-s,3
t020,3
800028312000,1
dop12.00r20,1
dttlt265/75r16,1
k16tr11,3
17109,2
884544,3
zxed1,1
hu-7010z,1
a-28650,3
822345,3
hy016,3
41601-64j00,3
4853002700,3
ety005,1
sddw-009,1
49531,2
a-5570-s,3
tto031,1
633148,2
55361-22100,3
17919,3
p80900500,3
48138273,0
tkl452710-4a,0
icd510,2
t1098,2
hy033,3
a-28510,1
sb001,2
w-1135/3,3
c-1302,3
17411,0
08720,0
a-1331-s,3
rto003,1
sk019,2
fs-4301,3
rxfc113642b,2
ca-18280,3
55310-c5000,0
icd1397,2
t1154,2
wk-1156/1,3
48530-52051,3
54303-5m400,3
sfc-1306-10b,1
wk-1040,3
thy001,1
as237sp-m1,1
rxfc120764b,2
bdd019,3
icd1202,1
17038,1
ef-10050,2
afc10100/f-m1,0
a-8649-s,2
fc-1803,2
hy036,3
a-57270-s,3
enr17097,1
k16hpr-u11,1
dt-072,3
a-28820,2
bf6000ml,0
sfc-5304-10,3
ca-17100-s,1
k007,2
c-1515,3
sfc-79140-30,3
hm295/80r22.5,1
54660-4h600,3
hy044,3
cf-300/1,3
54651-2s000,3
ctx-160a,2
mwmwc1592,2
c-1111,2
cmts-003,2
t018,3
pu-1046/x,3
wk-58,0
d25600500,1
17181,3
act-002-cs,2
a-88170-s,2
cst-011aa,1
99748960,1
q16r-u11,3
c-2505,3
27309,0
48006,3
ho-5046,2
17175,0
mz003,2
b1001,1
