lag,tipo,corr,sku
5,Menores,0.0,012502507
5,Pesados,0.0,012502507
5,Remolques y SemiR,0.0,012502507
6,Hibridos y Electricos,0.0,012502507
6,Livianos,0.0,012502507
6,Menores,0.0,012502507
6,Pesados,0.0,012502507
6,Remolques y SemiR,0.0,012502507
7,Hibridos y Electricos,0.0,012502507
7,Livianos,0.0,012502507
7,Menores,0.0,012502507
7,Pesados,0.0,012502507
7,Remolques y SemiR,0.0,012502507
0,Hibridos y Electricos,1.0,01276gre
0,Livianos,1.0,01276gre
0,Menores,1.0,01276gre
0,Pesados,1.0,01276gre
0,Remolques y SemiR,-1.0,01276gre
1,Hibridos y Electricos,1.0,01276gre
1,Livianos,-1.0,01276gre
1,Menores,1.0,01276gre
1,Pesados,-1.0,01276gre
1,Remolques y SemiR,1.0,01276gre
2,Hibridos y Electricos,1.0,01276gre
2,Livianos,-1.0,01276gre
2,Menores,1.0,01276gre
2,Pesados,1.0,01276gre
2,Remolques y SemiR,-1.0,01276gre
3,Hibridos y Electricos,1.0,01276gre
3,Livianos,-1.0,01276gre
3,Menores,-1.0,01276gre
3,Pesados,-1.0,01276gre
3,Remolques y SemiR,-1.0,01276gre
4,Hibridos y Electricos,1.0,01276gre
4,Livianos,-1.0,01276gre
4,Menores,-1.0,01276gre
4,Pesados,-1.0,01276gre
4,Remolques y SemiR,-1.0,01276gre
5,Hibridos y Electricos,1.0,01276gre
5,Livianos,1.0,01276gre
5,Menores,1.0,01276gre
5,Pesados,1.0,01276gre
5,Remolques y SemiR,1.0,01276gre
6,Hibridos y Electricos,-1.0,01276gre
6,Livianos,1.0,01276gre
6,Menores,-1.0,01276gre
6,Pesados,-1.0,01276gre
6,Remolques y SemiR,-1.0,01276gre
7,Hibridos y Electricos,1.0,01276gre
7,Livianos,1.0,01276gre
7,Menores,1.0,01276gre
7,Pesados,1.0,01276gre
7,Remolques y SemiR,1.0,01276gre
0,Hibridos y Electricos,0.0,01277
0,Livianos,0.0,01277
0,Menores,0.0,01277
0,Pesados,0.0,01277
0,Remolques y SemiR,0.0,01277
1,Hibridos y Electricos,0.0,01277
1,Livianos,0.0,01277
1,Menores,0.0,01277
1,Pesados,0.0,01277
1,Remolques y SemiR,0.0,01277
2,Hibridos y Electricos,0.0,01277
2,Livianos,0.0,01277
2,Menores,0.0,01277
2,Pesados,0.0,01277
2,Remolques y SemiR,0.0,01277
3,Hibridos y Electricos,-0.08011180616576878,01277
3,Livianos,0.0,01277
3,Menores,0.6824179644166767,01277
3,Pesados,0.6905710388489344,01277
3,Remolques y SemiR,0.0,01277
4,Hibridos y Electricos,0.0,01277
4,Livianos,0.711300901915624,01277
4,Menores,0.0,01277
4,Pesados,0.0,01277
4,Remolques y SemiR,0.0,01277
5,Hibridos y Electricos,0.0,01277
5,Livianos,0.0,01277
5,Menores,0.0,01277
5,Pesados,0.0,01277
5,Remolques y SemiR,0.0,01277
6,Hibridos y Electricos,0.0,01277
6,Livianos,0.0,01277
6,Menores,0.0,01277
6,Pesados,0.0,01277
6,Remolques y SemiR,0.0,01277
7,Hibridos y Electricos,0.0,01277
7,Livianos,0.0,01277
7,Menores,0.0,01277
7,Pesados,0.0,01277
7,Remolques y SemiR,0.4555450441983583,01277
0,Hibridos y Electricos,0.0,01289gre
0,Livianos,0.0,01289gre
0,Menores,0.0,01289gre
0,Pesados,0.0,01289gre
0,Remolques y SemiR,0.0,01289gre
1,Hibridos y Electricos,0.0,01289gre
1,Livianos,0.0,01289gre
1,Menores,0.0,01289gre
1,Pesados,0.0,01289gre
1,Remolques y SemiR,0.0,01289gre
2,Hibridos y Electricos,0.0,01289gre
2,Livianos,0.0,01289gre
2,Menores,0.0,01289gre
2,Pesados,0.0,01289gre
2,Remolques y SemiR,0.0,01289gre
3,Hibridos y Electricos,0.9997025727391705,01289gre
3,Livianos,0.0,01289gre
3,Menores,0.0,01289gre
3,Pesados,0.0,01289gre
3,Remolques y SemiR,0.0,01289gre
4,Hibridos y Electricos,0.0,01289gre
4,Livianos,0.0,01289gre
4,Menores,0.0,01289gre
4,Pesados,0.0,01289gre
4,Remolques y SemiR,0.0,01289gre
5,Hibridos y Electricos,0.0,01289gre
5,Livianos,0.0,01289gre
5,Menores,0.0,01289gre
5,Pesados,0.9997214212068726,01289gre
5,Remolques y SemiR,0.9979819685531951,01289gre
6,Hibridos y Electricos,0.0,01289gre
6,Livianos,-0.9276568946895234,01289gre
6,Menores,-0.9937325044576022,01289gre
6,Pesados,0.0,01289gre
6,Remolques y SemiR,0.0,01289gre
7,Hibridos y Electricos,0.0,01289gre
7,Livianos,0.0,01289gre
7,Menores,0.0,01289gre
7,Pesados,0.0,01289gre
7,Remolques y SemiR,0.0,01289gre
0,Hibridos y Electricos,0.0,012909501
0,Livianos,0.0,012909501
0,Menores,0.0,012909501
0,Pesados,0.0,012909501
0,Remolques y SemiR,0.0,012909501
1,Hibridos y Electricos,0.0,012909501
1,Livianos,0.0,012909501
1,Menores,0.0,012909501
1,Pesados,0.0,012909501
1,Remolques y SemiR,0.0,012909501
2,Hibridos y Electricos,0.0,012909501
2,Livianos,0.0,012909501
2,Menores,0.0,012909501
2,Pesados,0.0,012909501
2,Remolques y SemiR,0.0,012909501
3,Hibridos y Electricos,0.0,012909501
3,Livianos,0.0,012909501
3,Menores,0.0,012909501
3,Pesados,0.0,012909501
3,Remolques y SemiR,0.0,012909501
4,Hibridos y Electricos,0.0,012909501
4,Livianos,0.0,012909501
4,Menores,0.0,012909501
4,Pesados,0.0,012909501
4,Remolques y SemiR,0.0,012909501
5,Hibridos y Electricos,0.0,012909501
5,Livianos,0.0,012909501
5,Menores,0.0,012909501
5,Pesados,0.0,012909501
5,Remolques y SemiR,0.0,012909501
6,Hibridos y Electricos,0.0,012909501
6,Livianos,0.0,012909501
6,Menores,0.0,012909501
6,Pesados,0.0,012909501
6,Remolques y SemiR,0.0,012909501
7,Hibridos y Electricos,0.0,012909501
7,Livianos,0.0,012909501
7,Menores,0.0,012909501
7,Pesados,0.0,012909501
7,Remolques y SemiR,0.0,012909501
0,Hibridos y Electricos,0.0,01293
0,Livianos,0.0,01293
0,Menores,0.0,01293
0,Pesados,0.0,01293
0,Remolques y SemiR,0.0,01293
1,Hibridos y Electricos,0.0,01293
1,Livianos,0.0,01293
1,Menores,0.7185002866033271,01293
1,Pesados,0.0,01293
1,Remolques y SemiR,0.0,01293
2,Hibridos y Electricos,-0.4297092518497839,01293
2,Livianos,-0.5775155611681804,01293
2,Menores,0.0,01293
2,Pesados,0.0,01293
2,Remolques y SemiR,0.0,01293
3,Hibridos y Electricos,0.0,01293
3,Livianos,0.0,01293
3,Menores,0.0,01293
3,Pesados,0.0,01293
3,Remolques y SemiR,0.0,01293
4,Hibridos y Electricos,0.0,01293
4,Livianos,0.0,01293
4,Menores,0.0,01293
4,Pesados,0.0,01293
4,Remolques y SemiR,0.0,01293
5,Hibridos y Electricos,0.0,01293
5,Livianos,0.0,01293
5,Menores,0.0,01293
5,Pesados,0.0,01293
5,Remolques y SemiR,0.0,01293
6,Hibridos y Electricos,0.0,01293
6,Livianos,0.0,01293
6,Menores,0.0,01293
6,Pesados,0.0,01293
6,Remolques y SemiR,0.0,01293
7,Hibridos y Electricos,0.0,01293
7,Livianos,0.0,01293
7,Menores,0.0,01293
7,Pesados,0.46671431379273715,01293
7,Remolques y SemiR,0.6499677943699157,01293
0,Hibridos y Electricos,0.0,01300
0,Livianos,0.0,01300
0,Menores,0.0,01300
0,Pesados,0.0,01300
0,Remolques y SemiR,0.0,01300
1,Hibridos y Electricos,0.0,01300
1,Livianos,0.0,01300
1,Menores,0.5919079937749993,01300
1,Pesados,0.0,01300
1,Remolques y SemiR,0.0,01300
2,Hibridos y Electricos,0.0,01300
2,Livianos,0.0,01300
2,Menores,0.0,01300
2,Pesados,0.6263462300624557,01300
2,Remolques y SemiR,0.0,01300
3,Hibridos y Electricos,-0.5189744374818533,01300
3,Livianos,-0.6645856253828984,01300
3,Menores,0.0,01300
3,Pesados,0.0,01300
3,Remolques y SemiR,0.0,01300
4,Hibridos y Electricos,0.0,01300
4,Livianos,0.0,01300
4,Menores,0.0,01300
4,Pesados,0.0,01300
4,Remolques y SemiR,0.7340923056744291,01300
5,Hibridos y Electricos,0.0,01300
5,Livianos,0.0,01300
5,Menores,0.0,01300
5,Pesados,0.0,01300
5,Remolques y SemiR,0.0,01300
6,Hibridos y Electricos,0.0,01300
