year,month,Hibridos y Electricos,Livianos,Menores,Pesados,Remolques y SemiR,Neumáticos,Lubricantes,Partes de Motor,Filtros,Otros consumibles,Partes eléctricas,Sistema de transmisión,Partes de carrocería,Sistema de frenos,Baterías,Sistema de suspensión,Accesorios,Ruedas y sus partes,Productos de caucho,Sistema de dirección,Sistema de enfriamiento,Ejes y diferencial,Sistema de escape
2022,5,254.0,14356.0,31972.0,1812.0,478.0,36153479.32299999,32110471.44599997,25676276.305000007,14455468.549000006,9638907.387000004,6319293.682000001,7482736.302,6370823.4849999985,3780014.4020000068,3709762.460999996,3724074.7080000066,1959247.8980000003,2475219.6599999983,1784099.4849999999,1822824.5379999997,1054180.4009999975,639481.5,340446.75999999983
2022,6,192.0,12841.0,28733.0,1389.0,445.0,53004363.24,51041067.36100014,27479647.902999986,17508646.748000015,11897174.855999984,7483792.055,7740077.066999994,7865042.647999994,4116772.788000007,2929822.8310000007,3262323.778,2236199.8499999996,1842850.5520000025,2699532.8379999986,1864958.3170000003,977741.7499999994,1104422.3639999982,685732.1960000006
2022,7,196.0,12071.0,28217.0,1429.0,397.0,52283457.02199999,37085287.79599999,29084621.240000017,21839789.92199993,13038395.181999987,8165232.504999997,8733918.957,8153366.022999998,5656659.057,2739238.733,5033040.380000015,3062523.0910000014,1968371.6779999991,2468761.700000002,2079668.3760000004,1084128.2280000001,1264175.2439999997,716894.1750000004
2022,8,252.0,12991.0,30846.0,1541.0,428.0,55859847.411000036,40601213.59499999,32256779.725000024,16810700.06299997,13931367.715000015,8241296.188999993,7788766.257000009,7608161.240000003,4389786.966,4148231.1680000047,3802599.1420000037,2700176.146000001,2103387.0310000023,2556572.1699999995,1768418.0300000007,1042400.9149999991,1191478.394,719201.0680000006
2022,9,299.0,14863.0,33348.0,1540.0,395.0,46285457.613000005,52825036.14699997,29180235.651999995,16913734.32100001,12929815.715999996,7269533.653999997,10437000.483999992,7400399.837999992,5433712.717999997,3560055.6509999973,4189625.6520000035,3472837.4209999987,1663471.060000001,1825147.0029999996,1783300.24,1123394.8960000013,1168282.727000001,728618.702
2022,10,252.0,13040.0,27872.0,1331.0,432.0,47050387.38800001,28245671.63,28698368.58599998,15081667.006000001,11068217.599999992,7599739.620999999,8535239.607000003,7090880.139,4511938.895000003,2680625.521000008,3717230.313,2334111.592,1738269.2009999978,2559189.366000002,1891072.8420000009,1379969.8590000002,1171153.1620000005,360033.40900000004
2022,11,243.0,14088.0,28941.0,1436.0,403.0,55268081.60599996,40431576.31699998,30434169.15999999,14516118.700999998,11180717.889999995,7776090.397000003,8086777.001999994,6322300.889000003,3917440.028999998,3674093.7679999936,3186386.820999997,2611503.325,1414468.467,1929373.8900000008,2121971.7360000005,858162.6100000008,944109.5719999993,330709.8910000004
2022,12,248.0,12660.0,22616.0,1212.0,316.0,61156460.58299995,31662960.22199998,27319272.93000002,15632884.062000003,11493545.876000004,7569497.248999999,7709891.906999997,8474302.402999997,4153039.6919999914,2693889.399999999,4113488.713000002,3185469.3959999997,1752135.46,2343772.7240000013,1897132.669999999,1308867.1390000014,1145149.169999998,446428.5180000002
2023,1,299.0,15660.0,27959.0,1485.0,339.0,35677332.28599997,19302343.40399999,24077215.93999999,11808120.522999994,10415210.559000004,5811509.924000001,8459899.281999998,7661065.49,3689975.0849999953,2512173.5219999966,2725531.4420000026,2682827.668,1229418.1610000005,1601073.5950000011,1530423.7740000002,1023082.2209999977,1060993.162999999,301436.8629999999
2023,2,265.0,13326.0,25673.0,1084.0,373.0,36030114.29300004,34512694.70200001,25703428.619000018,13548607.497999992,8190042.781,6735350.051999996,8016228.559999999,8265817.07300001,3274804.121999996,2931872.385999998,2652761.098999995,1945827.0960000001,1016508.2799999996,1799666.5920000002,1440440.304000001,836444.0120000007,1151109.160999999,442032.8640000002
2023,3,389.0,16629.0,32218.0,1399.0,356.0,44678035.059999995,38608582.30199997,27321119.554999977,13573067.37600001,12027036.14200002,5727405.424999999,8203734.572,6069593.187,3874799.0489999983,2967750.103,3303728.6860000007,3628483.1990000005,1862734.0849999997,2792710.520999997,892958.1709999988,1016877.4789999989,882945.8950000003,460532.3070000001
2023,4,368.0,12324.0,26190.0,1247.0,359.0,40233311.763,26220845.62499998,23978147.85899999,12439342.98599999,9616532.528000006,6698249.538000004,8841187.484000012,6212448.161000003,3585789.206000003,2763418.4719999954,2360676.494000001,2195154.163,1177913.663000001,2332489.8180000014,1657804.0710000002,1009083.3099999973,970450.2769999997,392262.07999999984
2023,5,348.0,15118.0,33382.0,1611.0,396.0,41874444.12899997,24325405.048999995,27469636.44399999,13229433.780000005,10874001.119999988,7790756.377000002,7447143.835000012,7107381.232000005,4399207.306000001,3426697.8889999995,3940173.847,2813902.0639999993,1214237.914000001,3149905.777,1391844.8610000003,1203499.9149999989,1054928.6089999992,522357.008
2023,6,335.0,13706.0,26523.0,1394.0,369.0,46098920.87699998,24738961.783999998,31405539.687999986,15352430.818999998,10766333.276000002,7421086.100999998,9156615.383999998,6993256.892,4685583.710000005,3916680.720000008,2756493.783000004,2793501.1950000003,1784880.0160000045,2885465.4280000012,1526234.585,1485560.7690000006,970723.9779999993,575652.3840000002
2023,7,339.0,13316.0,26992.0,1513.0,380.0,52707820.748000026,31224020.66300002,28769463.92799999,15824866.467000002,12104006.82,7110205.3370000115,6672533.418999999,7555486.28700001,4874330.600000002,3954943.802000003,3180705.530000005,3047855.7509999997,1735087.4069999983,1650860.0730000008,1839860.7380000006,1151752.123000003,782271.6520000006,664883.9230000001
2023,8,440.0,14609.0,30812.0,1629.0,421.0,52553238.67800002,36261267.32399997,27771050.159999978,18254692.353999987,10747113.836000001,8290761.008000004,7793651.246999993,8955256.675000004,4373362.372000004,3481704.8670000075,2795052.072000007,2435712.842999999,1919175.3179999948,2829259.815000001,1727867.7699999989,1390336.8150000004,1099629.2219999996,602904.1360000003
2023,9,428.0,13202.0,28212.0,1519.0,440.0,43425273.85999999,28447407.34099999,30928171.96799998,14756650.118999992,11773841.35600001,8026876.155999997,6986127.310000004,7055238.2200000165,5514162.802999998,3547155.657999997,3910103.4150000005,2969522.3859999995,2208486.548999998,2533712.2460000007,1823197.571000001,1637822.8240000024,1380710.127,603038.8370000006
2023,10,447.0,12644.0,25774.0,1592.0,542.0,56412573.72900006,24520598.088000007,36242126.44599997,16125987.892999982,11602648.921000024,9521905.763000002,8063201.026999998,10103688.697000004,5013939.109000001,4309071.6159999985,3701156.7250000006,2910591.9399999995,1951798.9459999963,3059253.1020000023,1744184.1500000004,1696729.6269999982,1165666.0079999992,793958.8599999995
2023,11,418.0,12322.0,24157.0,1523.0,349.0,53552773.48199999,29826336.169000003,34384407.75900001,15824811.14499998,9560597.690999996,7342213.569000008,10257908.821,8134235.123000013,4176636.7969999905,4265582.442999999,3454390.8229999985,2524081.692,2037939.1289999995,2375865.3130000005,1875313.8479999998,1223084.2249999978,1217872.3620000002,782775.4289999993
2023,12,408.0,11629.0,19731.0,1331.0,283.0,49408176.59399998,27620222.248,31963454.63599997,14591639.475999981,10808994.171999997,7932753.134,8898452.992999997,8331949.591000001,5026040.145999992,3363903.9319999996,3245023.3610000024,2702417.8159999996,1587177.0170000002,2277515.666000001,2110113.487000001,1591462.398999995,1173645.1349999995,766248.5440000001
2024,1,454.0,28308.0,48186.0,2990.0,283.0,41835739.712000035,30008898.422000013,32961384.53700002,16092386.35000001,9329506.559999993,7661965.838999997,7894586.412000008,6570598.516999987,3905878.995999997,4925436.563999998,4309228.098000004,2130345.9820000012,2028451.9419999998,2630600.291000001,2617065.462,1392775.5240000004,862943.8420000002,825729.773
2024,2,412.0,27870.0,57020.0,2898.0,283.0,40321531.02000001,47426878.221999966,34135053.62800008,15857775.846999986,10439660.931000015,6578513.700000001,7399787.962999996,6254745.309000003,5033333.977000003,2503453.72,3048319.855,2540745.335999999,1059859.7440000006,2930122.3330000015,1816757.0060000014,1899020.9509999994,1325881.8929999997,928281.3459999999
2024,3,432.0,23178.0,51552.0,2712.0,283.0,35605605.68500001,31617930.891999993,33433025.510999877,14244383.427000014,10735168.856999982,6596237.624000014,7612093.830000003,5911655.666999992,5055245.111999998,2905065.4700000016,3235908.5590000013,2381559.326999998,946406.0530000003,2293310.11,2031313.4219999998,1108950.1179999998,970134.4900000003,755508.7969999999
2024,4,482.0,25906.0,62972.0,3206.0,283.0,51806702.75200005,36864588.65100004,34965058.61100004,19958192.125000022,13098264.577999981,7734936.906999975,6999585.662999993,7147934.665000009,4719584.210999996,3085818.2310000006,3754588.5589999957,3258681.0230000005,1203501.2900000003,2711590.023999999,2128533.158999999,1176902.7970000007,1249975.5210000002,805008.3469999998
2024,5,559.0,24106.0,59218.0,2990.0,283.0,41140023.34599996,26607446.691000015,36997098.44600007,17069081.620999977,11748422.408999994,7433274.447999997,8477392.667999996,6734249.983000005,5666646.112000003,4613678.5709999995,3407936.4670000016,2407525.253000004,1607189.2599999988,3129737.12,1934979.697000001,1555641.4680000013,1434224.1749999996,719832.2450000001
2024,6,584.0,21674.0,49688.0,2806.0,283.0,52409962.92199999,32706065.639999993,34851735.167000055,16701515.004999965,10912261.540000021,7488808.849999999,7059264.2390000075,6504778.879000004,5056007.532000002,3808256.634,3474649.149000002,3475817.365999997,1381551.2980000007,2247403.970999998,1728722.978,1136118.0100000002,863391.3979999999,723756.243
2024,7,516.0,22126.0,57074.0,3090.0,283.0,51322846.51,37676271.737,34390661.632999964,14262669.129,11878199.166000022,8268421.305,8781357.055000003,8047326.21299999,5694415.224999998,3936700.9979999997,3264612.901999998,3834248.850000002,1830614.8239999977,2839313.759000002,1933693.563000001,1460070.7959999999,1138380.8529999997,768129.4229999996
2024,8,589.0,25550.0,63536.0,2962.0,283.0,51310585.08400003,35344629.45699995,34031403.36999998,17512005.62400004,12204046.163999997,8518626.661999993,8077907.351999997,7936904.625000008,5123475.365999999,4882436.000000003,3609927.172999999,2411986.4769999995,2020174.6850000005,3239808.027000006,2725785.6399999987,1170327.6070000005,1552495.7700000003,813553.9019999999
2024,9,597.0,27236.0,67230.0,3262.0,283.0,66984109.088999994,25783421.758000024,34154365.82900003,15219052.96099999,11332591.357000014,7514220.807999985,8142396.302999993,6929566.981000002,4754249.362,3294640.0739999996,3164251.872000001,2745779.2989999973,1484327.3510000005,2815012.9420000003,1459989.760000001,1437198.6699999985,878090.5770000005,682932.9380000001
2024,10,497.0,26240.0,63398.0,3000.0,283.0,61611501.64600001,44762829.47100002,42357664.47599999,21488902.652999945,12356318.402000025,9944049.520999989,9827710.95599999,7579058.058999997,5815178.914999991,5356093.909000001,5117894.880999999,3945696.748999998,2205313.405000001,4224409.914,2401147.3659999985,1640383.7779999997,1139018.145999999,1014149.9630000002
2024,11,454.0,25506.0,56760.0,3436.0,283.0,72390278.0209999,33746507.02199996,34963580.79400005,18599163.375000037,12328979.13399999,8984336.933999969,7420594.789999999,6598771.36299999,4953437.401000002,4194964.056,4485671.912999999,3630230.342000001,2220360.696999998,2174481.4290000014,1656160.7869999995,1489904.801,1094230.0560000003,743309.5649999996
2024,12,454.0,25506.0,56760.0,3436.0,283.0,72390278.0209999,33746507.02199996,34963580.79400005,18599163.375000037,12328979.13399999,8984336.933999969,7420594.789999999,6598771.36299999,4953437.401000002,4194964.056,4485671.912999999,3630230.342000001,2220360.696999998,2174481.4290000014,1656160.7869999995,1489904.801,1094230.0560000003,743309.5649999996
